Date (Weeks Starting 1st day of Year),Merchant,MV - Accepted (MCCY)
7/27/17,NORDSTROM,143762
7/27/17,SAKS.COM,85910
7/28/17,BARNEYS NEW YORK,21131
7/28/17,NORDSTROM,130515
7/28/17,SAKS.COM,83667
7/29/17,BARNEYS NEW YORK,23667
7/29/17,NORDSTROM,138906
7/29/17,SAKS.COM,63045
7/30/17,BARNEYS NEW YORK,19207
7/30/17,NORDSTROM,114975
7/30/17,SAKS.COM,57547
7/31/17,BARNEYS NEW YORK,16391
7/31/17,NORDSTROM,141792
7/31/17,SAKS.COM,82051
8/1/17,BARNEYS NEW YORK,26957
8/1/17,NORDSTROM,122524
8/1/17,SAKS.COM,61154
8/2/17,BARNEYS NEW YORK,15618
8/2/17,NORDSTROM,163243
8/2/17,SAKS.COM,49243
8/3/17,BARNEYS NEW YORK,27911
8/3/17,NORDSTROM,133345
8/3/17,SAKS.COM,57600
8/4/17,BARNEYS NEW YORK,17930
8/4/17,NORDSTROM,132034
8/4/17,SAKS.COM,63025
8/5/17,BARNEYS NEW YORK,14959
8/5/17,NORDSTROM,125098
8/5/17,SAKS.COM,60798
8/6/17,BARNEYS NEW YORK,17281
8/6/17,NORDSTROM,165212
8/6/17,SAKS.COM,64966
8/7/17,BARNEYS NEW YORK,26254
8/7/17,NORDSTROM,146194
8/7/17,SAKS.COM,56227
8/8/17,BARNEYS NEW YORK,24383
8/8/17,NORDSTROM,94950
8/8/17,SAKS.COM,69986
8/9/17,BARNEYS NEW YORK,26033
8/9/17,NORDSTROM,97452
8/9/17,SAKS.COM,41717
8/10/17,BARNEYS NEW YORK,45850
8/10/17,NORDSTROM,95631
8/10/17,SAKS.COM,67076
8/11/17,BARNEYS NEW YORK,39606
8/11/17,NORDSTROM,96968
8/11/17,SAKS.COM,89529
8/12/17,BARNEYS NEW YORK,30007
8/12/17,NORDSTROM,84589
8/12/17,SAKS.COM,78009
8/13/17,BARNEYS NEW YORK,22382
8/13/17,NORDSTROM,83452
8/13/17,SAKS.COM,52383
8/14/17,BARNEYS NEW YORK,26733
8/14/17,NORDSTROM,100008
8/14/17,SAKS.COM,68473
8/15/17,BARNEYS NEW YORK,26548
8/15/17,NORDSTROM,111414
8/15/17,SAKS.COM,72533
8/16/17,BARNEYS NEW YORK,42297
8/16/17,NORDSTROM,112825
8/16/17,SAKS.COM,73015
8/17/17,BARNEYS NEW YORK,11874
8/17/17,NORDSTROM,111226
8/17/17,SAKS.COM,60053
8/18/17,BARNEYS NEW YORK,24936
8/18/17,NORDSTROM,91029
8/18/17,SAKS.COM,77701
8/19/17,BARNEYS NEW YORK,16049
8/19/17,NORDSTROM,84707
8/19/17,SAKS.COM,62253
8/20/17,BARNEYS NEW YORK,13634
8/20/17,NORDSTROM,85504
8/20/17,SAKS.COM,48148
8/21/17,BARNEYS NEW YORK,28140
8/21/17,NORDSTROM,102260
8/21/17,SAKS.COM,74234
8/22/17,BARNEYS NEW YORK,20109
8/22/17,NORDSTROM,95638
8/22/17,SAKS.COM,99577
8/23/17,BARNEYS NEW YORK,25202
8/23/17,NORDSTROM,107167
8/23/17,SAKS.COM,91726
8/24/17,BARNEYS NEW YORK,27560
8/24/17,NORDSTROM,114370
8/24/17,SAKS.COM,81078
8/25/17,BARNEYS NEW YORK,19538
8/25/17,NORDSTROM,93402
8/25/17,SAKS.COM,76427
8/26/17,BARNEYS NEW YORK,18254
8/26/17,NORDSTROM,95855
8/26/17,SAKS.COM,64104
8/27/17,BARNEYS NEW YORK,34610
8/27/17,NORDSTROM,98898
8/27/17,SAKS.COM,69543
8/28/17,BARNEYS NEW YORK,25885
8/28/17,NORDSTROM,106343
8/28/17,SAKS.COM,52858
8/29/17,BARNEYS NEW YORK,19239
8/29/17,NORDSTROM,100661
8/29/17,SAKS.COM,61712
8/30/17,BARNEYS NEW YORK,26835
8/30/17,NORDSTROM,97108
8/30/17,SAKS.COM,43292
8/31/17,BARNEYS NEW YORK,22896
8/31/17,NORDSTROM,111263
8/31/17,SAKS.COM,95666
9/1/17,BARNEYS NEW YORK,24952
9/1/17,NORDSTROM,122996
9/1/17,SAKS.COM,118588
9/2/17,BARNEYS NEW YORK,23685
9/2/17,NORDSTROM,117339
9/2/17,SAKS.COM,105568
9/3/17,BARNEYS NEW YORK,23384
9/3/17,NORDSTROM,124983
9/3/17,SAKS.COM,70138
9/4/17,BARNEYS NEW YORK,22483
9/4/17,NORDSTROM,134937
9/4/17,SAKS.COM,98667
